lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
12,18,18,19,3,21,18,19,1
21,0,22,18,21,0,21,19,1
10,18,18,7,1,21,18,7,1
7,6,9,19,6,7,9,19,1
18,4,15,18,18,1,16,18,1
21,0,22,18,21,0,19,21,1
18,7,12,18,18,7,9,21,1
4,18,9,20,1,21,9,20,1
4,18,9,20,1,19,9,20,1
19,0,16,18,18,1,16,18,1
19,18,1,21,19,18,0,22,1
9,19,21,18,0,22,21,18,1
3,24,10,18,0,25,10,18,1
3,22,0,24,3,21,1,24,1
22,0,0,23,21,1,0,23,1
19,9,18,19,19,0,21,19,1
21,3,18,19,21,0,21,19,1
18,19,21,3,18,18,22,3,1
1,7,21,18,1,7,18,21,1
19,18,9,19,19,18,0,22,1
18,21,4,6,18,21,3,7,1
19,9,6,19,19,0,15,19,1
18,21,10,18,18,21,1,21,1
21,1,3,20,21,0,4,20,1
7,1,9,20,7,0,10,20,1
19,9,1,24,19,9,0,25,1
21,1,3,24,21,1,0,25,1
4,6,18,21,3,7,18,21,1
21,18,3,7,18,21,3,7,1
18,22,0,21,18,21,1,21,1
18,22,0,21,18,19,3,21,1
3,19,19,18,3,19,18,19,1
18,21,21,1,18,21,18,4,1
21,18,3,7,18,19,3,7,1
21,3,1,20,18,4,1,20,1
19,3,18,7,19,0,21,7,1
21,1,6,7,18,4,6,7,1
3,7,7,18,3,7,6,19,1
1,12,24,18,1,9,25,18,1
4,18,9,24,1,19,9,24,1
18,21,10,18,18,21,9,19,1
19,18,9,19,18,19,9,19,1
21,18,9,19,18,21,9,19,1
19,0,16,18,19,0,15,19,1
19,1,9,24,19,0,10,24,1
12,18,1,8,9,21,1,8,1
21,1,9,24,21,0,10,24,1
3,7,15,18,3,6,16,18,1
3,16,0,24,3,15,1,24,1
21,9,18,19,18,10,18,19,1
19,9,18,19,18,10,18,19,1
1,14,0,24,1,11,3,24,1
18,10,21,6,18,9,22,6,1
10,0,25,18,1,9,25,18,1
6,10,21,18,6,9,22,18,1
15,1,18,19,6,10,18,19,1
10,0,23,18,10,0,20,19,1
1,11,21,18,1,11,18,21,1
9,7,19,18,0,16,19,18,1
7,9,18,21,6,10,18,21,1
18,10,19,18,18,10,18,19,1
9,7,21,18,0,16,21,18,1
10,3,18,20,9,4,18,20,1
3,15,19,6,3,6,22,6,1
19,3,9,24,19,0,12,24,1
10,18,3,20,9,19,3,20,1
10,18,1,24,9,19,1,24,1
9,22,0,20,9,21,1,20,1
12,0,25,6,9,3,25,6,1
10,3,6,24,9,4,6,24,1
4,18,3,8,3,19,3,8,1
3,19,21,2,3,18,22,2,1
21,0,22,18,18,1,22,18,1
10,0,25,18,1,3,25,18,1
4,6,1,24,3,7,1,24,1
4,6,9,20,3,7,9,20,1
3,16,0,24,3,7,3,24,1
1,21,19,6,0,22,19,6,1
21,0,22,2,18,3,22,2,1
21,9,18,19,21,0,21,19,1
18,21,4,2,18,21,1,5,1
7,18,9,19,6,19,9,19,1
1,21,19,18,1,21,18,19,1
18,21,19,3,18,21,18,4,1
18,21,19,3,18,18,22,3,1
21,18,18,4,18,19,18,4,1
21,18,9,19,21,18,0,22,1
21,9,18,7,21,0,21,7,1
19,9,18,7,19,0,21,7,1
21,1,6,21,18,4,6,21,1
21,18,3,19,18,19,3,19,1
21,18,3,19,18,21,3,19,1
3,24,4,18,3,24,1,21,1
21,18,1,21,18,21,1,21,1
19,18,3,19,19,18,0,22,1
18,10,19,18,18,1,22,18,1
21,18,6,4,18,21,6,4,1
1,15,19,18,1,15,18,19,1
7,0,16,18,7,0,15,19,1
1,16,0,20,1,7,9,20,1
21,0,16,18,21,0,7,21,1
21,1,9,24,18,4,9,24,1
18,4,15,18,18,3,16,18,1
21,0,16,18,21,0,15,19,1
3,16,0,24,3,7,9,24,1
4,9,6,24,1,12,6,24,1
4,18,9,24,1,21,9,24,1
7,9,18,19,6,10,18,19,1
3,7,21,18,3,6,22,18,1
19,18,3,7,18,19,3,7,1
18,22,0,19,18,19,3,19,1
18,7,10,18,18,7,9,19,1
4,3,18,20,4,0,19,20,1
10,18,1,24,1,21,1,24,1
21,1,18,19,18,4,18,19,1
21,0,25,3,21,0,24,4,1
18,21,21,1,18,18,22,1,1
21,1,3,8,21,0,4,8,1
12,0,25,18,3,3,25,18,1
18,19,4,18,18,19,1,21,1
3,7,15,18,3,7,6,21,1
3,15,19,18,3,15,18,19,1
3,25,0,21,3,24,1,21,1
12,18,18,19,9,19,18,19,1
3,15,19,18,0,16,19,18,1
18,4,19,6,18,4,18,7,1
10,0,25,18,9,1,25,18,1
21,18,1,21,18,19,1,21,1
18,19,4,6,18,19,3,7,1
21,18,1,5,18,21,1,5,1
9,22,0,24,9,21,1,24,1
6,10,21,6,6,9,22,6,1
1,15,19,18,0,16,19,18,1
4,9,6,24,4,0,15,24,1
1,12,20,18,0,13,20,18,1
4,9,18,20,1,12,18,20,1
9,7,21,6,0,16,21,6,1
18,4,19,18,18,4,18,19,1
18,22,0,7,18,21,1,7,1
21,18,1,19,18,21,1,19,1
18,19,4,18,18,19,3,19,1
4,0,25,18,3,1,25,18,1
18,22,0,7,18,19,3,7,1
9,21,19,6,9,18,22,6,1
9,19,19,18,9,19,18,19,1
3,10,24,18,3,9,25,18,1
21,18,1,21,21,18,0,22,1
18,21,7,3,18,21,6,4,1
9,4,24,18,0,13,24,18,1
9,21,19,18,9,18,22,18,1
6,10,19,18,6,10,18,19,1
18,19,19,3,18,19,18,4,1
19,18,18,4,18,19,18,4,1
24,1,9,19,24,0,10,19,1
21,0,22,2,21,0,19,5,1
4,9,6,24,3,10,6,24,1
9,19,21,2,9,18,22,2,1
21,18,18,4,18,21,18,4,1
4,9,18,20,3,10,18,20,1
10,3,18,20,1,12,18,20,1
12,1,6,24,3,10,6,24,1
18,19,21,1,18,19,18,4,1
18,22,0,19,18,21,1,19,1
12,1,18,20,3,10,18,20,1
18,19,21,1,18,18,22,1,1
12,1,6,24,9,4,6,24,1
3,10,24,18,0,13,24,18,1
3,10,20,18,0,13,20,18,1
3,10,24,6,0,13,24,6,1
1,12,24,6,0,13,24,6,1
10,3,6,24,1,12,6,24,1
9,4,20,18,0,13,20,18,1
9,4,24,6,0,13,24,6,1
9,21,19,2,9,18,22,2,1
1,12,24,18,0,13,24,18,1
18,21,19,1,18,18,22,1,1
