,line 1,line 2,line 3,line 4,piece to move,place to occupy,possibility of win
771,1200,2220,3011,4001,5121,6031,-2.0
772,1200,2220,3011,4010,5121,6032,-0.25
773,1200,2221,3000,4011,5112,6022,-16.0
774,1201,2000,3121,4200,5102,6012,0.14285714285714285
775,1201,2000,3121,4200,5122,6032,0.16666666666666666
776,1201,2000,3211,4002,5102,6012,-1.5
777,1201,2000,3211,4002,5121,6031,-1.2142857142857144
778,1201,2000,3211,4020,5102,6012,-0.19047619047619047
779,1201,2000,3211,4020,5121,6032,-0.6666666666666666
780,1201,2000,3211,4200,5102,6012,-0.19047619047619047
781,1201,2000,3212,4001,5121,6031,-0.3333333333333333
782,1201,2000,3212,4010,5121,6032,-0.16666666666666666
783,1201,2000,3221,4001,5102,6012,-3.666666666666665
784,1201,2000,3221,4010,5102,6012,-0.625
785,1201,2000,3221,4010,5122,6032,0.0357142857142857
786,1201,2001,3010,4022,5112,6022,0.01785714285714285
787,1201,2001,3010,4202,5112,6022,-0.375
788,1201,2001,3010,4220,5112,6022,-0.19047619047619047
789,1201,2001,3010,4220,5121,6032,-0.16666666666666666
790,1201,2001,3020,4021,5112,6022,-0.16666666666666666
791,1201,2001,3020,4201,5112,6022,-0.3333333333333333
792,1201,2001,3020,4210,5112,6022,0.14285714285714285
793,1201,2001,3100,4202,5112,6022,0.14285714285714285
794,1201,2001,3100,4202,5120,6031,0.14285714285714285
795,1201,2001,3100,4220,5112,6022,0.16666666666666666
796,1201,2001,3200,4021,5112,6022,-0.5
797,1201,2001,3200,4201,5112,6022,-1.1666666666666665
798,1201,2002,3100,4201,5120,6031,-0.16666666666666666
799,1201,2010,3001,4022,5102,6012,-0.41666666666666663
800,1201,2010,3001,4022,5111,6021,-0.125
801,1201,2010,3001,4202,5102,6012,-0.125
802,1201,2010,3001,4202,5111,6021,-0.125
803,1201,2010,3001,4220,5102,6012,-0.047619047619047616
804,1201,2010,3002,4021,5102,6012,-0.2
805,1201,2010,3002,4021,5111,6021,-0.29166666666666663
806,1201,2010,3002,4201,5102,6012,-0.25
807,1201,2010,3002,4201,5111,6021,-0.16666666666666666
808,1201,2010,3010,4022,5111,6022,-0.25
809,1201,2010,3010,4202,5111,6022,-0.125
810,1201,2010,3020,4021,5102,6012,-0.16666666666666666
811,1201,2010,3020,4021,5111,6022,-0.8333333333333333
812,1201,2010,3020,4201,5102,6012,0.14285714285714285
813,1201,2010,3020,4201,5111,6022,-0.3333333333333333
814,1201,2010,3100,4220,5102,6012,0.14285714285714285
815,1201,2010,3100,4220,5111,6021,0.25
816,1201,2010,3200,4012,5102,6012,-0.125
817,1201,2010,3200,4021,5111,6021,0.14285714285714285
818,1201,2010,3200,4021,5111,6022,-0.16666666666666666
819,1201,2010,3200,4201,5102,6012,0.14285714285714285
820,1201,2010,3200,4201,5111,6021,0.14285714285714285
821,1201,2020,3001,4012,5102,6012,-0.16666666666666666
822,1201,2020,3001,4021,5102,6012,-0.5
823,1201,2020,3001,4201,5102,6012,-0.3333333333333333
824,1201,2020,3001,4210,5102,6012,-0.25
825,1201,2020,3010,4021,5102,6012,-0.25
826,1201,2020,3010,4201,5102,6012,-0.125
827,1201,2020,3010,4201,5121,6031,-0.125
828,1201,2020,3200,4011,5102,6012,-0.5
829,1201,2100,3001,4220,5122,6032,0.14285714285714285
830,1201,2100,3020,4201,5110,6020,0.14285714285714285
831,1201,2100,3200,4021,5102,6012,-0.25
832,1201,2100,3200,4021,5110,6021,0.2857142857142857
833,1201,2100,3200,4201,5102,6012,0.2
834,1201,2100,3200,4201,5110,6021,0.14285714285714285
835,1201,2200,3001,4012,5102,6012,-1.125
836,1201,2200,3001,4021,5102,6012,-1.1666666666666665
837,1201,2200,3001,4201,5102,6012,-1.3333333333333333
838,1201,2200,3001,4210,5122,6032,0.14285714285714285
839,1201,2200,3010,4021,5102,6012,0.42857142857142855
840,1201,2200,3010,4201,5121,6031,0.2857142857142857
841,1201,2200,3020,4011,5102,6012,-0.25
842,1201,2200,3100,4201,5102,6012,0.16666666666666666
843,1201,2200,3100,4201,5120,6031,0.14285714285714285
844,1201,2200,3200,4011,5102,6012,1.1428571428571426
845,1210,2000,3121,4200,5101,6012,-0.25
846,1210,2000,3121,4200,5120,6031,0.30357142857142855
847,1210,2000,3121,4200,5122,6032,0.30952380952380953
848,1210,2000,3211,4002,5101,6011,0.2857142857142857
849,1210,2000,3211,4002,5101,6012,-0.625
850,1210,2000,3211,4002,5121,6031,1.1428571428571426
851,1210,2000,3211,4020,5101,6011,0.09523809523809523
852,1210,2000,3211,4020,5101,6012,-0.07142857142857142
853,1210,2000,3211,4020,5121,6032,0.14285714285714285
854,1210,2000,3211,4200,5101,6012,0.2857142857142857
855,1210,2000,3211,4200,5121,6031,0.14285714285714285
856,1210,2000,3211,4200,5121,6032,0.11904761904761904
857,1210,2000,3211,4200,5122,6032,0.14285714285714285
858,1210,2000,3221,4001,5101,6011,-0.5714285714285714
859,1210,2000,3221,4001,5101,6012,-1.1666666666666665
860,1210,2000,3221,4010,5101,6011,0.14285714285714285
861,1210,2000,3221,4010,5101,6012,0.01785714285714285
862,1210,2000,3221,4010,5122,6032,0.42857142857142855
863,1210,2001,3001,4022,5101,6011,-0.45833333333333326
864,1210,2001,3001,4220,5122,6032,-0.023809523809523808
865,1210,2001,3002,4021,5101,6011,-0.375
866,1210,2001,3002,4201,5101,6011,-0.375
867,1210,2001,3002,4210,5101,6011,-1.0
868,1210,2001,3010,4022,5101,6011,-0.125
869,1210,2001,3010,4022,5112,6022,0.42857142857142855
870,1210,2001,3010,4202,5101,6011,-0.125
871,1210,2001,3010,4202,5112,6022,0.14285714285714285
872,1210,2001,3010,4220,5121,6032,0.14285714285714285
873,1210,2001,3020,4021,5101,6011,0.14285714285714285
874,1210,2001,3020,4201,5101,6011,-0.023809523809523808
875,1210,2001,3020,4201,5112,6022,-0.19047619047619047
876,1210,2001,3020,4210,5101,6011,0.2857142857142857
877,1210,2001,3020,4210,5112,6022,0.14285714285714285
878,1210,2001,3100,4202,5101,6011,0.14285714285714285
879,1210,2001,3100,4202,5112,6022,0.14285714285714285
880,1210,2001,3100,4202,5120,6031,0.01785714285714285
881,1210,2001,3100,4220,5101,6011,0.30952380952380953
882,1210,2001,3100,4220,5112,6022,0.18452380952380953
883,1210,2001,3200,4021,5101,6011,-0.047619047619047616
884,1210,2001,3200,4201,5101,6011,0.42857142857142855
885,1210,2001,3200,4201,5112,6022,-0.023809523809523808
886,1210,2010,3001,4022,5101,6012,-0.125
887,1210,2010,3001,4022,5111,6021,-0.125
888,1210,2010,3001,4202,5101,6012,0.14285714285714285
889,1210,2010,3020,4021,5101,6012,0.11904761904761904
890,1210,2010,3020,4021,5111,6022,-0.6666666666666666
891,1210,2010,3020,4201,5111,6022,-0.4285714285714286
892,1210,2010,3200,4021,5101,6012,-0.16666666666666666
893,1210,2010,3200,4201,5101,6012,0.14285714285714285
894,1210,2010,3200,4201,5111,6021,0.14285714285714285
895,1210,2010,3200,4201,5111,6022,-0.16666666666666666
896,1210,2020,3001,4021,5101,6012,-0.6666666666666666
897,1210,2020,3001,4201,5101,6012,-1.1666666666666665
898,1210,2020,3001,4210,5101,6012,-0.25
899,1210,2020,3001,4210,5122,6032,-0.125
900,1210,2020,3100,4201,5120,6031,-0.125
901,1210,2020,3200,4011,5101,6012,-0.375
902,1210,2100,3001,4202,5101,6012,-0.125
903,1210,2100,3001,4220,5101,6012,-0.125
904,1210,2100,3200,4021,5101,6011,-0.125
905,1210,2100,3200,4021,5110,6021,0.2857142857142857
906,1210,2100,3200,4201,5101,6012,0.2
907,1210,2100,3200,4201,5110,6021,0.2857142857142857
908,1210,2200,3001,4012,5101,6011,0.5714285714285714
909,1210,2200,3001,4021,5101,6011,-0.3571428571428571
910,1210,2200,3001,4021,5101,6012,-0.3333333333333333
911,1210,2200,3001,4201,5101,6011,0.7142857142857142
912,1210,2200,3001,4201,5101,6012,-0.6666666666666666
