bo,win
111000000222110001000222,-29.17142857142857
111000000222011010000222,-26.896428571428604
111000000222101001000222,-24.59166666666668
200221000011200220001011,-16.0
111000000222011100000222,-14.62857142857143
111000000222101010000222,-14.470238095238091
220000211001220000201011,-8.875
200201021010200201020011,-8.625
200011220001200001221001,-7.8333333333333375
200201011002200201001012,-7.0
100210220001100200221001,-6.400000000000002
110001200022100011200022,-6.116666666666667
010101220002000111220002,-5.666666666666665
220001200011220000201011,-5.625
000211221000000211220001,-5.333333333333334
100011022200000111022200,-5.333333333333332
200011202001200001212001,-5.25
001110220002000111220002,-4.999999999999999
101001200022001011200022,-4.648809523809524
100201021002000211021002,-4.0
001011220002001001221002,-4.0
100011202020000111202020,-4.0
101001002220001011002220,-3.875
011010200022001011200022,-3.75
020120201001020020211001,-3.75
201000221001200001221001,-3.666666666666665
020101220001020100221001,-3.625
101010200022001110200022,-3.5904761904761906
110001020202100011020202,-3.5333333333333337
200011202010200001212010,-3.5
110001002220010011002220,-3.4464285714285707
000121221000000121220001,-3.375
001201012020001201002021,-3.333333333333333
010101202020000111202020,-3.333333333333333
101010002220100011002220,-3.291666666666667
011100200022010101200022,-3.2892857142857146
110001200022010101200022,-3.273809523809524
101001200022101000201022,-3.164285714285714
001210021002000211021002,-3.0
010201021002000211021002,-3.0
110001200022110000201022,-2.920238095238095
001120201002001020211002,-2.8571428571428568
011010020202010011020202,-2.833333333333333
011010020202001011020202,-2.75
200120201001200020211001,-2.75
001101202020001001212020,-2.6904761904761902
010101022200000111022200,-2.6666666666666665
001011202020001001212020,-2.6666666666666665
200201012010200201002011,-2.625
101010020202001110020202,-2.607142857142857
100210021200100210020201,-2.6
101000221002001010221002,-2.541666666666667
011010200022011000201022,-2.5416666666666665
200101220001200100221001,-2.5
010011220002010001221002,-2.482142857142857
110001020202110000021202,-2.4738095238095235
101000221002100001221002,-2.458333333333333
011010002220001011002220,-2.458333333333333
101010020202101000021202,-2.4166666666666665
100210021020100210020021,-2.4
011100200022011000210022,-2.354761904761905
200011201002200001211002,-2.25
100211000022100210001022,-2.2333333333333334
110001002220010101002220,-2.2059523809523807
001101220002001100221002,-2.1904761904761907
110001200022010011200022,-2.178571428571429
200011012020200011002021,-2.15
100011220002100001221002,-2.083333333333333
010011202020010001212020,-2.047619047619048
101001020202101000021202,-2.041666666666667
101001002220001101002220,-2.023809523809524
110001020202010101020202,-2.005952380952381
001221000021001220001021,-2.0
200201012001200201002011,-2.0
200220011001200220001011,-2.0
011100002220010101002220,-1.9904761904761905
010101220002010100221002,-1.982142857142857
011010020220001011020220,-1.9285714285714293
010120201002000121201002,-1.9166666666666667
110001020202010011020202,-1.9166666666666663
101010200022101000210022,-1.875
020201011002020201001012,-1.875
200021210001200020211001,-1.875
001211000202001201001202,-1.8333333333333333
001021210020001021200021,-1.8333333333333333
101001200202001011200202,-1.8333333333333333
100201201002000211201002,-1.815476190476191
100201012020000211012020,-1.7999999999999998
110001002220100011002220,-1.7999999999999998
200021210001200021200011,-1.75
101010200022101000201022,-1.75
010210021002000211021002,-1.75
200101201002200001211002,-1.75
001011220002001010221002,-1.75
010201012020000211012020,-1.725
001120201002000121201002,-1.7083333333333333
011000212020011000202021,-1.7083333333333333
100011220002000111220002,-1.6666666666666663
001211000022001201001022,-1.6666666666666663
011100020202010101020202,-1.6547619047619049
101001200022001101200022,-1.6488095238095242
000211212000000211202001,-1.625
011010200022011000210022,-1.5988095238095241
011010020202011000021202,-1.5833333333333333
010101202020010001212020,-1.5666666666666669
011010200022010011200022,-1.5178571428571432
021200001021020201001021,-1.5
001220201001000221201001,-1.5
200201011020200201001021,-1.5
010221000021010220001021,-1.5
201000211002200001211002,-1.5
011000221002010001221002,-1.4583333333333333
200021011002200021001012,-1.4166666666666667
020101201002020001211002,-1.4166666666666663
011000212020010001212020,-1.4083333333333334
011100200022001101200022,-1.3988095238095235
011010200202010011200202,-1.386904761904762
001120201020000121201020,-1.375
020220011001020220001011,-1.375
001101220020001100221020,-1.375
101200001202100201001202,-1.3666666666666665
001210201002000211201002,-1.3333333333333333
200201011200200201001201,-1.3333333333333333
